Filename,Run Count,Last Run Date
"\\User-20230521vs\G\阳帅工作文档\CAD\时代高科\TFS251023T项目（订单：34套+6套）\生产资料\TBQ-PJ-002-05(DZ-000500026) 热电阻探头A型 5米.DWG",1,134241725119094897
"E:\阮焕\项目\K000410 (亚华)",1,134239880450063242
"C:\Users\Administrator\Documents\WeChat Files\wxid_2e3dox79dghb22\FileStorage\File\2025-06\CXT-702PB00020 PT100热电阻探头 φ4×法兰8×管长20mm 线长1.5米 成品图.dwg",1,134239748676111624
"\\User-20230521vs\G\阳帅工作文档\CAD\行者源锂电",1,134239146821458296
"\\Desktop-osh296i\e\（王建忠）9月份copy\工程技术资料\测温度控电柜电箱操作设置文件20250119",1,134239140267853741
"\\Desktop-osh296i\e\（王建忠）9月份copy\ISO及管理文件\二阶文件\OK\量测器具校正使用标准\仪器仪表机器设备操作规范.doc",1,134239095446707479
"E:\阮焕\项目\K000180 (湖南丰日)\CXT-010301559(LD130-2) 76.8V25型加热膜 252x169mm\CXT-3811 成品刀模.dwg",1,134238168811808193
"E:\阮焕\项目\K000180 (湖南丰日)\CXT-010301555(LD129-2) 64V62.5W 25型加热膜 211x169mm\CXT-3816 成品刀模.dwg",1,134238168637516846
"\\User-20230521vs\G\阳帅工作文档\CAD\智捷（腾祥）\硅胶电热膜（正反面背胶）60-72V 160W 355×200\CXT-3807 成品刀模.dwg",1,134238168491344123
"\\User-20230521vs\G\阳帅工作文档\CAD\智捷（腾祥）\硅胶电热膜 60-72V 306.6W 600×275\CXT-3775-001 成品刀模.dwg",1,134238168321974274
"D:\Program Files\Adobe Illustrator 28.5.0.132\Illustrator\App\Program Files\Adobe\Adobe Illustrator 2024\Support Files\Contents\Windows\Illustrator.exe",1,134238166877932431
"E:\彭福明\CAD-图纸\吉星\L0003-叉车-南都FP55A-12S2P项目 加热膜43.8v 210w\客户原图\36v110ah.stp",1,134237414936909417
